law,frlaw_date
Loi constitutionnelle no 2005-205 du 1 mars 2005 relative à la Charte de l'environnement (1).Vigueur,Loi constitutionnelle no 2005-205 du 1 mars 2005 relative à la Charte de l'environnement (1).Vigueur
Loi constitutionnelle no 2008-103 du 4 février 2008 modifiant le titre XV de la Constitution (1)Vigueur,Loi constitutionnelle no 2008-103 du 4 février 2008 modifiant le titre XV de la Constitution (1)Vigueur
LOI constitutionnelle no 2008-724 du 23 juillet 2008 de modernisation des institutions de la Ve République (1)Vigueur,LOI constitutionnelle no 2008-724 du 23 juillet 2008 de modernisation des institutions de la Ve République (1)Vigueur
"Loi constitutionnelle no 92-554 du 25 juin 1992 ajoutant à la Constitution un titre "" Des Communautés européennes et de l'Union européenne ""Vigueur","Loi constitutionnelle no 92-554 du 25 juin 1992 ajoutant à la Constitution un titre "" Des Communautés européennes et de l'Union européenne ""Vigueur"
Loi constitutionnelle no 2000-964 du 2 octobre 2000 constitutionnelle relative à la durée du mandat du Président de la RépubliqueVigueur,Loi constitutionnelle no 2000-964 du 2 octobre 2000 constitutionnelle relative à la durée du mandat du Président de la RépubliqueVigueur
Loi constitutionnelle no 2003-267 du 25 mars 2003 relative au mandat d'arrêt européen (1).Vigueur,Loi constitutionnelle no 2003-267 du 25 mars 2003 relative au mandat d'arrêt européen (1).Vigueur
Loi constitutionnelle no 2003-276 du 28 mars 2003 relative à l'organisation décentralisée de la République (1).Vigueur,Loi constitutionnelle no 2003-276 du 28 mars 2003 relative à l'organisation décentralisée de la République (1).Vigueur
Loi constitutionnelle no 2005-204 du 1 mars 2005 modifiant le titre XV de la Constitution (1).Vigueur,Loi constitutionnelle no 2005-204 du 1 mars 2005 modifiant le titre XV de la Constitution (1).Vigueur
Loi constitutionnelle no 2007-237 du 23 février 2007 modifiant l'article 77 de la Constitution (1).Vigueur,Loi constitutionnelle no 2007-237 du 23 février 2007 modifiant l'article 77 de la Constitution (1).Vigueur
Loi constitutionnelle no 2007-238 du 23 février 2007 portant modification du titre IX de la Constitution (1).Vigueur,Loi constitutionnelle no 2007-238 du 23 février 2007 portant modification du titre IX de la Constitution (1).Vigueur
Loi constitutionnelle no 2007-239 du 23 février 2007 relative à l'interdiction de la peine de mort (1).Vigueur,Loi constitutionnelle no 2007-239 du 23 février 2007 relative à l'interdiction de la peine de mort (1).Vigueur
Loi constitutionnelle no 93-1256 du 25 novembre 1993 relative aux accords internationaux en matière de droit d'asileVigueur,Loi constitutionnelle no 93-1256 du 25 novembre 1993 relative aux accords internationaux en matière de droit d'asileVigueur
"Loi constitutionnelle no 93-952 du 27 juillet 1993 portant révision de la Constitution du 4 octobre 1958 et modifiant ses titres VIII, IX, X et XVI (1)Vigueur","Loi constitutionnelle no 93-952 du 27 juillet 1993 portant révision de la Constitution du 4 octobre 1958 et modifiant ses titres VIII, IX, X et XVI (1)Vigueur"
"Loi constitutionnelle no 95-880 du 4 août 1995 portant extension du champ d'application du référendum, instituant une session parlementaire ordinaire unique, modifiant le régime de l'inviolabilité parlementaire et abrogeant les dispositions relatives à la Communauté et les dispositions transitoiresVigueur","Loi constitutionnelle no 95-880 du 4 août 1995 portant extension du champ d'application du référendum, instituant une session parlementaire ordinaire unique, modifiant le régime de l'inviolabilité parlementaire et abrogeant les dispositions relatives à la Communauté et les dispositions transitoiresVigueur"
Loi constitutionnelle no 96-138 du 22 février 1996 constitutionnelle instituant les lois de financement de la sécurité socialeVigueur,Loi constitutionnelle no 96-138 du 22 février 1996 constitutionnelle instituant les lois de financement de la sécurité socialeVigueur
Loi constitutionnelle no 98-610 du 20 juillet 1998 relative à la Nouvelle-CalédonieVigueur,Loi constitutionnelle no 98-610 du 20 juillet 1998 relative à la Nouvelle-CalédonieVigueur
Loi constitutionnelle no 99-49 du 25 janvier 1999 constitutionnelle modifiant les articles 88-2 et 88-4 de la ConstitutionVigueur,Loi constitutionnelle no 99-49 du 25 janvier 1999 constitutionnelle modifiant les articles 88-2 et 88-4 de la ConstitutionVigueur
"Loi constitutionnelle no 99-568 du 8 juillet 1999 constitutionnelle insérant, au titre VI de la Constitution, un article 53-2 et relative à la Cour pénale internationaleVigueur","Loi constitutionnelle no 99-568 du 8 juillet 1999 constitutionnelle insérant, au titre VI de la Constitution, un article 53-2 et relative à la Cour pénale internationaleVigueur"
Loi constitutionnelle no 99-569 du 8 juillet 1999 constitutionnelle relative à l'égalité entre les femmes et les hommesVigueur,Loi constitutionnelle no 99-569 du 8 juillet 1999 constitutionnelle relative à l'égalité entre les femmes et les hommesVigueur
Loi no 2000-108 du 10 février 2000 relative à la modernisation et au développement du service public de l'électricitéVigueur,Loi no 2000-108 du 10 février 2000 relative à la modernisation et au développement du service public de l'électricitéVigueur
Loi no 2000-1207 du 13 décembre 2000 d'orientation pour l'outre-merVigueur,Loi no 2000-1207 du 13 décembre 2000 d'orientation pour l'outre-merVigueur
Loi no 2000-1208 du 13 décembre 2000 relative à la solidarité et au renouvellement urbains.Vigueur,Loi no 2000-1208 du 13 décembre 2000 relative à la solidarité et au renouvellement urbains.Vigueur
Loi no 2000-1209 du 13 décembre 2000 relative à la contraception d'urgence (1)Vigueur,Loi no 2000-1209 du 13 décembre 2000 relative à la contraception d'urgence (1)Vigueur
Loi no 2000-121 du 16 février 2000 modifiant l'article 6 ter de l'ordonnance no 58-1100 du 17 novembre 1958 relative au fonctionnement des assemblées parlementairesVigueur,Loi no 2000-121 du 16 février 2000 modifiant l'article 6 ter de l'ordonnance no 58-1100 du 17 novembre 1958 relative au fonctionnement des assemblées parlementairesVigueur
Loi no 2000-1232 du 15 décembre 2000 tendant à permettre aux conseillers d'arrondissement de siéger au conseil d'une communauté urbaine (1)Vigueur,Loi no 2000-1232 du 15 décembre 2000 tendant à permettre aux conseillers d'arrondissement de siéger au conseil d'une communauté urbaine (1)Vigueur
Loi no 2000-1257 du 23 décembre 2000 de financement de la sécurité sociale pour 2001Vigueur,Loi no 2000-1257 du 23 décembre 2000 de financement de la sécurité sociale pour 2001Vigueur
Loi no 2000-1352 du 30 décembre 2000 de Finances pour 2001 (1).Vigueur,Loi no 2000-1352 du 30 décembre 2000 de Finances pour 2001 (1).Vigueur
