ordo,ordo_date
Ordonnance n ° 2019-784 du 24 juillet 2019 modifiant les dispositions du code minier relatives à l'octroi et à la prolongation des titres d'exploration et d'exploitation des gîtes géothermiquesVigueur,Ordonnance n ° 2019-784 du 24 juillet 2019 modifiant les dispositions du code minier relatives à l'octroi et à la prolongation des titres d'exploration et d'exploitation des gîtes géothermiquesVigueur
Ordonnance n° 2000-1223 du 14 décembre 2000 relative à la partie Législative du code monétaire et financierVigueur,Ordonnance n° 2000-1223 du 14 décembre 2000 relative à la partie Législative du code monétaire et financierVigueur
Ordonnance n° 2000-1249 du 21 décembre 2000 relative à la partie Législative du code de l'action sociale et des famillesVigueur,Ordonnance n° 2000-1249 du 21 décembre 2000 relative à la partie Législative du code de l'action sociale et des famillesVigueur
Ordonnance n° 2000-1255 du 21 décembre 2000 modifiant certaines dispositions annexées à l'ordonnance n° 2000-930 du 22 septembre 2000 relative à la partie Législative du code de la route.Vigueur,Ordonnance n° 2000-1255 du 21 décembre 2000 modifiant certaines dispositions annexées à l'ordonnance n° 2000-930 du 22 septembre 2000 relative à la partie Législative du code de la route.Vigueur
"Ordonnance n° 2000-189 du 2 mars 2000 portant extension et adaptation du titre Ier du livre IV du code de la santé publique relatif aux professions de médecin, de chirurgien-dentiste et de sage-femme aux départements d'outre-mer, aux collectivités territoriales de Saint-Pierre-et-Miquelon et de Mayotte et aux territoires d'outre-mer des îles Wallis-et-Futuna et des Terres australes et antarctiques françaisesVigueur","Ordonnance n° 2000-189 du 2 mars 2000 portant extension et adaptation du titre Ier du livre IV du code de la santé publique relatif aux professions de médecin, de chirurgien-dentiste et de sage-femme aux départements d'outre-mer, aux collectivités territoriales de Saint-Pierre-et-Miquelon et de Mayotte et aux territoires d'outre-mer des îles Wallis-et-Futuna et des Terres australes et antarctiques françaisesVigueur"
"Ordonnance n° 2000-190 du 2 mars 2000 relative aux chambres de discipline des ordres des médecins, des chirurgiens-dentistes, des sages-femmes et des pharmaciens de la Nouvelle-Calédonie et de la Polynésie françaiseVigueur","Ordonnance n° 2000-190 du 2 mars 2000 relative aux chambres de discipline des ordres des médecins, des chirurgiens-dentistes, des sages-femmes et des pharmaciens de la Nouvelle-Calédonie et de la Polynésie françaiseVigueur"
Ordonnance n° 2000-218 du 8 mars 2000 fixant les règles de détermination des nom et prénoms des personnes de statut civil de droit local applicable à MayotteVigueur,Ordonnance n° 2000-218 du 8 mars 2000 fixant les règles de détermination des nom et prénoms des personnes de statut civil de droit local applicable à MayotteVigueur
Ordonnance n° 2000-219 du 8 mars 2000 relative à l'état civil à MayotteVigueur,Ordonnance n° 2000-219 du 8 mars 2000 relative à l'état civil à MayotteVigueur
Ordonnance n° 2000-27 du 13 janvier 2000 relative à la contribution de l'Etat aux ressources des communes de la Polynésie françaiseVigueur,Ordonnance n° 2000-27 du 13 janvier 2000 relative à la contribution de l'Etat aux ressources des communes de la Polynésie françaiseVigueur
Ordonnance n° 2000-28 du 13 janvier 2000 relative à la santé publique à Mayotte et portant modification des ordonnances n° 92-1070 du 1er octobre 1992 et n° 96-1122 du 20 décembre 1996 modifiéeVigueur,Ordonnance n° 2000-28 du 13 janvier 2000 relative à la santé publique à Mayotte et portant modification des ordonnances n° 92-1070 du 1er octobre 1992 et n° 96-1122 du 20 décembre 1996 modifiéeVigueur
Ordonnance n° 2000-285 du 30 mars 2000 portant actualisation et adaptation du droit du travail de l'outre-merVigueur,Ordonnance n° 2000-285 du 30 mars 2000 portant actualisation et adaptation du droit du travail de l'outre-merVigueur
Ordonnance n° 2000-29 du 13 janvier 2000 portant création d'une agence de santé et extension ou adaptation de certaines dispositions du code de la santé publique aux îles Wallis et FutunaVigueur,Ordonnance n° 2000-29 du 13 janvier 2000 portant création d'une agence de santé et extension ou adaptation de certaines dispositions du code de la santé publique aux îles Wallis et FutunaVigueur
"Ordonnance n° 2000-347 du 19 avril 2000 modifiant l'ordonnance n° 59-74 du 7 janvier 1959 portant réforme du régime de l'émission dans les départements de la Guadeloupe, la Guyane, la Martinique et la RéunionVigueur","Ordonnance n° 2000-347 du 19 avril 2000 modifiant l'ordonnance n° 59-74 du 7 janvier 1959 portant réforme du régime de l'émission dans les départements de la Guadeloupe, la Guyane, la Martinique et la RéunionVigueur"
Ordonnance n° 2000-350 du 19 avril 2000 portant actualisation et adaptation du droit électoral applicable outre-merVigueur,Ordonnance n° 2000-350 du 19 avril 2000 portant actualisation et adaptation du droit électoral applicable outre-merVigueur
Ordonnance n° 2000-351 du 19 avril 2000 portant prolongation de la scolarité obligatoire dans le territoire des îles Wallis-et-FutunaVigueur,Ordonnance n° 2000-351 du 19 avril 2000 portant prolongation de la scolarité obligatoire dans le territoire des îles Wallis-et-FutunaVigueur
Ordonnance n° 2000-352 du 19 avril 2000 relative à l'indemnisation des victimes de catastrophes naturelles dans les îles Wallis-et-FutunaVigueur,Ordonnance n° 2000-352 du 19 avril 2000 relative à l'indemnisation des victimes de catastrophes naturelles dans les îles Wallis-et-FutunaVigueur
"Ordonnance n° 2000-370 du 26 avril 2000 relative au droit d'asile en Polynésie française, dans les îles Wallis et Futuna, à Mayotte et dans les Terres australes et antarctiques françaisesVigueur","Ordonnance n° 2000-370 du 26 avril 2000 relative au droit d'asile en Polynésie française, dans les îles Wallis et Futuna, à Mayotte et dans les Terres australes et antarctiques françaisesVigueur"
Ordonnance n° 2000-371 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers dans les îles Wallis et FutunaVigueur,Ordonnance n° 2000-371 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers dans les îles Wallis et FutunaVigueur
Ordonnance n° 2000-372 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers en Polynésie françaiseVigueur,Ordonnance n° 2000-372 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers en Polynésie françaiseVigueur
Ordonnance n° 2000-373 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers à MayotteAbrogé,Ordonnance n° 2000-373 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers à MayotteAbrogé
Ordonnance n° 2000-374 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers dans les Terres australes et antarctiques françaisesVigueur,Ordonnance n° 2000-374 du 26 avril 2000 relative aux conditions d'entrée et de séjour des étrangers dans les Terres australes et antarctiques françaisesVigueur
Ordonnance n° 2000-387 du 4 mai 2000 relative à la partie Législative du code de justice administrativeVigueur,Ordonnance n° 2000-387 du 4 mai 2000 relative à la partie Législative du code de justice administrativeVigueur
Ordonnance n° 2000-548 du 15 juin 2000 relative à la partie Législative du code de la santé publiqueVigueur,Ordonnance n° 2000-548 du 15 juin 2000 relative à la partie Législative du code de la santé publiqueVigueur
Ordonnance n° 2000-549 du 15 juin 2000 relative à la partie Législative du code de l'éducationVigueur,Ordonnance n° 2000-549 du 15 juin 2000 relative à la partie Législative du code de l'éducationVigueur
"Ordonnance n° 2000-550 du 15 juin 2000 relative aux parties législatives des livres VII (Dispositions sociales) et IX (Santé publique vétérinaire et protection des végétaux) et à la mise à jour des parties législatives des livres Ier (Aménagement et équipement de l'espace rural), III (Exploitation agricole) et VI (Production et marchés) du code ruralVigueur","Ordonnance n° 2000-550 du 15 juin 2000 relative aux parties législatives des livres VII (Dispositions sociales) et IX (Santé publique vétérinaire et protection des végétaux) et à la mise à jour des parties législatives des livres Ier (Aménagement et équipement de l'espace rural), III (Exploitation agricole) et VI (Production et marchés) du code ruralVigueur"
Ordonnance n° 2000-912 du 18 septembre 2000 relative à la partie Législative du code de commerceVigueur,Ordonnance n° 2000-912 du 18 septembre 2000 relative à la partie Législative du code de commerceVigueur
