title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
"ORDONANŢĂ DE URGENŢĂ nr.48 din 10 septembrie 1997 privind modificarea şi completarea Ordonantei de urgenta a Guvernului nr.43/1997 pentru intocmirea bilantului contabil special şi regularizarea unor credite şi dobanzi clasificate in categoria ""pierdere"" la Banca Agricola -- S.A.",[<b>Ordonanţă de Urgenţă nr.48 din 10 septembrie 1997</b>],abrogata prin lege,"LEGE nr.166 din 17 august     1998 privind aprobarea Ordonanţei de urgenţă a Guvernului nr.43/1997 pentru întocmirea bilanţului contabil special şi regularizarea unor credite şi dobânzi clasificate în categoria ""pierdere"" la Banca Agricolă - S.A., precum şi pentru abrogarea Ordonanţei de urgenţă a Guvernului nr.48/1997 privind modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr.43/1997",<b>Lege nr.166 din 17 august     1998</b>
"ORDONANŢĂ DE URGENŢĂ nr.48 din 10 septembrie 1997 privind modificarea şi completarea Ordonantei de urgenta a Guvernului nr.43/1997 pentru intocmirea bilantului contabil special şi regularizarea unor credite şi dobanzi clasificate in categoria ""pierdere"" la Banca Agricola -- S.A.",[<b>Ordonanţă de Urgenţă nr.48 din 10 septembrie 1997</b>],abrogata prin lege,"LEGE nr.166 din 17 august     1998 privind aprobarea Ordonanţei de urgenţă a Guvernului nr.43/1997 pentru întocmirea bilanţului contabil special şi regularizarea unor credite şi dobânzi clasificate în categoria ""pierdere"" la Banca Agricolă - S.A., precum şi pentru abrogarea Ordonanţei de urgenţă a Guvernului nr.48/1997 privind modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr.43/1997",<b>Lege nr.166 din 17 august     1998</b>
"ORDONANŢĂ DE URGENŢĂ nr.48 din 10 septembrie 1997 privind modificarea şi completarea Ordonantei de urgenta a Guvernului nr.43/1997 pentru intocmirea bilantului contabil special şi regularizarea unor credite şi dobanzi clasificate in categoria ""pierdere"" la Banca Agricola -- S.A.",[<b>Ordonanţă de Urgenţă nr.48 din 10 septembrie 1997</b>],abrogata prin lege,"LEGE nr.166 din 17 august     1998 privind aprobarea Ordonanţei de urgenţă a Guvernului nr.43/1997 pentru întocmirea bilanţului contabil special şi regularizarea unor credite şi dobânzi clasificate în categoria ""pierdere"" la Banca Agricolă - S.A., precum şi pentru abrogarea Ordonanţei de urgenţă a Guvernului nr.48/1997 privind modificarea şi completarea Ordonanţei de urgenţă a Guvernului nr.43/1997",<b>Lege nr.166 din 17 august     1998</b>
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
title,date_ordo,status,law,date_law
ORDONANŢĂ DE URGENŢĂ nr.69 din 13 iunie      2002 pentru modificarea art. 45 lit. a) din Legea asigurărilor sociale de sănătate nr. 145/1997,[<b>Ordonanţă de Urgenţă nr.69 din 13 iunie      2002</b>],abrogata prin og,ORDONANŢĂ DE URGENŢĂ nr.150 din 31 octombrie  2002 privind organizarea şi funcţionarea sistemului de asigurări sociale de sănătate,<b>Ordonanţă de Urgenţă nr.150 din 31 octombrie  2002</b>
