law,date_law
LEGE privind abrogarea unor acte normative,1/16.01.1992
LEGE privind acordarea de indemnizaţii membrilor Academiei Române,2/16.01.1992
"LEGE privind instituirea ""Timbrului olimpic""",3/24.01.1992
LEGE pentru ratificarea Acordului dintre Guvernul Romaniei şi Guvernul Republicii Populare Chineze privind livrarea de catre partea chineza de marfuri pe credit partii romane,4/24.01.1992
LEGE privind ratificarea Acordului dintre Guvernul Romaniei şi Guvernul Republicii Populare Chineze pentru evitarea dublei impuneri şi prevenirea evaziunii fiscale cu privire la impozitele pe venit,5/24.01.1992
LEGE privind concediul de odihnă şi alte concedii ale salariaţilor,6/05.02.1992
"LEGE privind acoperirea financiară a obligaţiilor statului rămase neregularizate la 31 decembrie 1990 şi preluarea de către stat şi băncile comerciale a pierderilor înregistrate în anii 1989 şi 1990 de agenţii economici cu capital de stat, precum şi a creditelor bancare neperformante",7/05.02.1992
LEGE pentru ratificarea Acordului comercial şi de plati dintre Guvernul Romaniei şi Guvernul Republicii Populare Democrate Coreene pe perioada 1991-1993,8/05.02.1992
LEGE pentru ratificarea Acordului dintre Guvernul Romaniei şi Guvernul Republicii Costa Rica privind evitarea dublei impuneri in materie de impozit pe venit şi pe capital,9/05.02.1992
LEGE pentru ratificarea Acordului dintre Guvernul Romaniei şi Guvernul Republicii Turcia privind promovarea şi protejarea reciproca a investitiilor,10/05.02.1992
"LEGE privind acceptarea de către România a majorării capitalului său autorizat la Corporaţia Financiară Internaţională - C.F.I.- conform Proiectului de rezoluţie ""Creşterea generală de capital 1991"" al Consiliului Directorilor din C.F.I.",11/24.02.1992
"LEGE pentru ratificarea tratatului de asistenta juridica in materie civila şi penala dintre Romania şi republica Populara Chineza, semnat la Beijing la 16 ianuarie 1991",12/24.02.1992
"LEGE pentru ratificarea Conventiei consulare dintre Romania şi Republica Populara Chineza, semnata la Beijing la 16 ianuarie 1991",13/24.02.1992
LEGE privind organizarea şi funcţionarea Serviciului Român de Informaţii,14/24.02.1992
"LEGE privind aderarea Romaniei la Protocolul asupra privilegiilor şi imunitatilor Organizatiei Internationale de Telecomunicatii prin Satelit ""Intelsat""",15/03.03.1992
"LEGE pentru aderarea Romaniei la Protocolul privind privilegiile şi imunitatile Organizatiei Internationale de Telecomunicatii Maritime prin Satelit ""Inmarsat""",16/03.03.1992
"LEGE privind aderarea Romaniei la Protocolul asupra privilegiilor şi imunitatilor Organizatiei Europene de Telecomunicatii prin Satelit ""Eutelsat""",17/03.03.1992
"LEGE pentru ratificarea Tratatului cu privire la fortele armate conventionale in Europa, semnat la Paris la 19 noiembrie 1990, a Declaratiei Romaniei in cadrul Conferintei extraordinare de la Viena din 14 iunie 1991, precum şi a Conventiei cu privire la nivelurile maxime pentru cantitatile de armamente conventionale şi tehnica, semnata la Budapesta la 3 noiembrie 1990",18/04.03.1992
"LEGE pentru ratificarea Protocolului, semnat la Praga la 1 iulie 1991, privind incetarea valabilitatii Tratatului de prietenie, colaborare şi asistenta mutuala, semnat la Varsovia la 14 mai 1955, şi a Protocolului referitor la prelungirea duratei valabilitatii acestuia, semnat la Varsovia la 26 aprilie 1985",19/04.03.1992
"LEGE privind salarizarea in anul 1992 a deputatilor şi senatorilor, Presedintelui şi Guvernului Romaniei, a personalului din aparatul Parlamentului Romaniei, a personalului Presedintiei, Guvernului şi celorlalte organe ale puterii executive, precum şi a personalului din organele puterii judecatoresti",20/09.03.1992
LEGE cu privire la rectificarea bugetului administratiei centrale de stat pe anul 1991,21/12.03.1992
"LEGE pentru modificarea şi completarea Decretului-lege nr.118/1990 privind acordarea unor drepturi persoanelor persecutate din motive politice de dictatura instaurata cu incepere de la 6 martie 1945, precum şi a celor deportate in strainatate ori constituite in prizonieri",22/12.03.1992
LEGE pentru ratificarea Acordului de imprumut dintre Consiliul Federal Elvetian şi Guvernul Romaniei,23/12.03.1992
